pressure_mode,relative
pressure_unit,None
material_basis,mass
material_unit,g
loading_basis,molar
loading_unit,cm3(STP)
temperature_unit,K
adsorbate,nitrogen
material,CarbonBlack
temperature,77.355
model_from,BET
material_batch,Test
date,21/05/2010 00:00
t_act,200.0
user,PI
lab,MADIREL
machine,Triflex
type,calorimetry
project,ACRONYM
iso_type,Isotherme
is_real,True
adsorbent_basis,mass
adsorbent_unit,g
file_version,3.0
data:[pressure,loading,branch,(otherdata)]
pressure,loading,branch
0.77777778,28.27141994,ads
0.77877878,28.38813851,ads
0.77977978,28.5058248,ads
0.78078078,28.62449088,ads
0.78178178,28.74414905,ads
0.78278278,28.8648118,ads
0.78378378,28.98649183,ads
0.78478478,29.10920206,ads
0.78578579,29.23295564,ads
0.78678679,29.35776592,ads
0.78778779,29.48364651,ads
0.78878879,29.61061121,ads
0.78978979,29.73867411,ads
0.79079079,29.86784951,ads
0.79179179,29.99815197,ads
0.79279279,30.1295963,ads
0.79379379,30.26219759,ads
0.7947948,30.39597117,ads
0.7957958,30.53093267,ads
0.7967968,30.66709796,ads
0.7977978,30.80448324,ads
0.7987988,30.94310497,ads
0.7997998,31.08297993,ads
0.8008008,31.22412517,ads
0.8018018,31.36655809,ads
0.8028028,31.51029638,ads
0.8038038,31.65535808,ads
0.8048048,31.80176155,ads
0.80580581,31.94952548,ads
0.80680681,32.09866894,ads
0.80780781,32.24921133,ads
0.80880881,32.40117243,ads
0.80980981,32.55457238,ads
0.81081081,32.70943172,ads
0.81181181,32.86577138,ads
0.81281281,33.02361268,ads
0.81381381,33.18297736,ads
0.81481482,33.34388759,ads
0.81581582,33.50636596,ads
0.81681682,33.67043549,ads
0.81781782,33.83611969,ads
0.81881882,34.00344251,ads
0.81981982,34.17242836,ads
0.82082082,34.34310219,ads
0.82182182,34.51548939,ads
0.82282282,34.6896159,ads
0.82382382,34.86550818,ads
0.82482482,35.04319323,ads
0.82582583,35.22269859,ads
0.82682683,35.40405239,ads
0.82782783,35.58728331,ads
0.82882883,35.77242066,ads
0.82982983,35.95949435,ads
0.83083083,36.1485349,ads
0.83183183,36.33957352,ads
0.83283283,36.53264203,ads
0.83383383,36.72777297,ads
0.83483484,36.92499957,ads
0.83583584,37.12435576,ads
0.83683684,37.32587623,ads
0.83783784,37.52959641,ads
0.83883884,37.73555251,ads
0.83983984,37.94378156,ads
0.84084084,38.15432138,ads
0.84184184,38.36721066,ads
0.84284284,38.58248894,ads
0.84384384,38.80019666,ads
0.84484484,39.02037519,ads
0.84584585,39.24306682,ads
0.84684685,39.46831482,ads
0.84784785,39.69616348,ads
0.84884885,39.92665809,ads
0.84984985,40.15984502,ads
0.85085085,40.3957717,ads
0.85185185,40.63448672,ads
0.85285285,40.87603979,ads
0.85385385,41.12048183,ads
0.85485486,41.36786499,ads
0.85585586,41.61824266,ads
0.85685686,41.87166955,ads
0.85785786,42.12820169,ads
0.85885886,42.38789653,ads
0.85985986,42.6508129,ads
0.86086086,42.91701112,ads
0.86186186,43.18655304,ads
0.86286286,43.45950204,ads
0.86386386,43.73592315,ads
0.86486486,44.01588303,ads
0.86586587,44.29945008,ads
0.86686687,44.58669446,ads
